 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	40.000	60.000	-1.000	-1.000	148.000
2	1.000	2.000	40.000	60.000	0.000	0.000	151.000
3	1.000	3.000	40.000	60.000	0.000	0.000	156.000
4	1.000	4.000	40.000	60.000	0.000	0.000	146.000
5	1.000	5.000	40.000	60.000	0.000	0.000	143.000
6	1.000	6.000	40.000	60.000	0.000	0.000	159.000
7	1.000	7.000	40.000	60.000	0.000	0.000	143.000
8	1.000	8.000	40.000	60.000	0.000	0.000	156.000
9	1.000	9.000	40.000	60.000	0.000	0.000	156.000
10	1.000	10.000	40.000	60.000	0.000	0.000	167.000
11	1.000	11.000	40.000	60.000	0.000	0.000	156.000
12	1.000	12.000	40.000	60.000	0.000	0.000	159.000
13	1.000	13.000	40.000	60.000	0.000	0.000	148.000
14	1.000	14.000	40.000	60.000	0.000	0.000	156.000
15	1.000	15.000	40.000	60.000	0.000	0.000	153.000
16	1.000	16.000	40.000	60.000	0.000	0.000	153.000
17	1.000	17.000	40.000	60.000	0.000	0.000	164.000
18	1.000	18.000	40.000	60.000	0.000	0.000	225.000
19	1.000	19.000	37.000	59.000	0.408	0.204	229.000
20	1.000	20.000	35.000	55.000	0.577	0.288	220.000
21	1.000	21.000	34.000	55.000	0.129	0.064	194.000
22	1.000	22.000	34.000	55.000	0.000	0.000	209.000
23	1.000	23.000	34.000	55.000	0.000	0.000	201.000
24	1.000	24.000	34.000	55.000	0.000	0.000	209.000
25	1.000	25.000	34.000	55.000	0.000	0.000	197.000
26	1.000	26.000	34.000	55.000	0.000	0.000	201.000
27	1.000	27.000	34.000	55.000	0.000	0.000	205.000
28	1.000	28.000	34.000	55.000	0.000	0.000	201.000
29	1.000	29.000	34.000	55.000	0.000	0.000	197.000
30	1.000	30.000	34.000	55.000	0.000	0.000	205.000
31	1.000	31.000	34.000	55.000	0.000	0.000	197.000
32	1.000	32.000	23.000	59.000	1.510	0.755	205.000
33	1.000	33.000	23.000	58.000	0.129	0.064	156.000
34	1.000	34.000	23.000	59.000	0.129	0.064	130.000
35	1.000	35.000	23.000	59.000	0.000	0.000	130.000
36	1.000	36.000	23.000	59.000	0.000	0.000	148.000
37	1.000	37.000	23.000	59.000	0.000	0.000	132.000
38	1.000	38.000	23.000	59.000	0.000	0.000	140.000
39	1.000	39.000	23.000	59.000	0.000	0.000	140.000
40	1.000	40.000	23.000	59.000	0.000	0.000	151.000
41	1.000	41.000	23.000	59.000	0.000	0.000	146.000
42	1.000	42.000	23.000	59.000	0.000	0.000	140.000
43	1.000	43.000	23.000	59.000	0.000	0.000	135.000
44	1.000	44.000	23.000	59.000	0.000	0.000	130.000
45	1.000	45.000	23.000	59.000	0.000	0.000	132.000
46	1.000	46.000	23.000	59.000	0.000	0.000	132.000
47	1.000	47.000	23.000	59.000	0.000	0.000	130.000
48	1.000	48.000	23.000	59.000	0.000	0.000	132.000
49	1.000	49.000	23.000	59.000	0.000	0.000	137.000
50	1.000	50.000	23.000	59.000	0.000	0.000	130.000
51	1.000	51.000	23.000	59.000	0.000	0.000	167.000
52	1.000	52.000	23.000	63.000	0.516	0.258	187.000
53	1.000	53.000	23.000	63.000	0.000	0.000	183.000
54	1.000	54.000	23.000	63.000	0.000	0.000	191.000
55	1.000	55.000	23.000	63.000	0.000	0.000	183.000
56	1.000	56.000	23.000	63.000	0.000	0.000	187.000
57	1.000	57.000	23.000	63.000	0.000	0.000	183.000
58	1.000	58.000	23.000	63.000	0.000	0.000	191.000
59	1.000	59.000	23.000	63.000	0.000	0.000	187.000
60	1.000	60.000	23.000	63.000	0.000	0.000	171.000
61	1.000	61.000	23.000	63.000	0.000	0.000	194.000
62	1.000	62.000	23.000	63.000	0.000	0.000	194.000
