 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	12.000	50.000	-1.000	-1.000	111.000
2	1.000	2.000	13.000	50.000	0.129	0.064	116.000
3	1.000	3.000	13.000	51.000	0.129	0.064	114.000
4	1.000	4.000	13.000	51.000	0.000	0.000	116.000
5	1.000	5.000	13.000	51.000	0.000	0.000	119.000
6	1.000	6.000	13.000	51.000	0.000	0.000	116.000
7	1.000	7.000	13.000	51.000	0.000	0.000	114.000
8	1.000	8.000	13.000	51.000	0.000	0.000	119.000
9	1.000	9.000	13.000	51.000	0.000	0.000	114.000
10	1.000	10.000	13.000	51.000	0.000	0.000	119.000
11	1.000	11.000	13.000	51.000	0.000	0.000	119.000
12	1.000	12.000	13.000	51.000	0.000	0.000	116.000
13	1.000	13.000	13.000	51.000	0.000	0.000	119.000
14	1.000	14.000	13.000	51.000	0.000	0.000	119.000
15	1.000	15.000	14.000	51.000	0.129	0.064	128.000
16	1.000	16.000	14.000	51.000	0.000	0.000	124.000
17	1.000	17.000	11.000	66.000	1.973	0.987	109.000
18	1.000	18.000	13.000	49.000	2.208	1.104	137.000
19	1.000	19.000	13.000	49.000	0.000	0.000	131.000
20	1.000	20.000	13.000	49.000	0.000	0.000	137.000
21	1.000	21.000	13.000	49.000	0.000	0.000	137.000
22	1.000	22.000	13.000	49.000	0.000	0.000	128.000
23	1.000	23.000	13.000	49.000	0.000	0.000	124.000
24	1.000	24.000	13.000	49.000	0.000	0.000	131.000
25	1.000	25.000	13.000	49.000	0.000	0.000	128.000
26	1.000	26.000	13.000	49.000	0.000	0.000	140.000
27	1.000	27.000	13.000	49.000	0.000	0.000	128.000
28	1.000	28.000	13.000	49.000	0.000	0.000	131.000
29	1.000	29.000	13.000	49.000	0.000	0.000	128.000
30	1.000	30.000	13.000	49.000	0.000	0.000	137.000
31	1.000	31.000	13.000	49.000	0.000	0.000	128.000
32	1.000	32.000	14.000	42.000	0.912	0.456	128.000
33	1.000	33.000	14.000	42.000	0.000	0.000	128.000
34	1.000	34.000	13.000	43.000	0.182	0.091	114.000
35	1.000	35.000	13.000	43.000	0.000	0.000	116.000
36	1.000	36.000	14.000	42.000	0.182	0.091	128.000
37	1.000	37.000	13.000	44.000	0.288	0.144	116.000
38	1.000	38.000	13.000	44.000	0.000	0.000	124.000
39	1.000	39.000	13.000	44.000	0.000	0.000	119.000
40	1.000	40.000	13.000	44.000	0.000	0.000	121.000
41	1.000	41.000	13.000	44.000	0.000	0.000	121.000
42	1.000	42.000	13.000	44.000	0.000	0.000	124.000
43	1.000	43.000	13.000	44.000	0.000	0.000	119.000
44	1.000	44.000	13.000	44.000	0.000	0.000	124.000
45	1.000	45.000	13.000	44.000	0.000	0.000	128.000
46	1.000	46.000	13.000	44.000	0.000	0.000	121.000
47	1.000	47.000	13.000	44.000	0.000	0.000	121.000
48	1.000	48.000	13.000	44.000	0.000	0.000	116.000
49	1.000	49.000	13.000	44.000	0.000	0.000	124.000
50	1.000	50.000	13.000	44.000	0.000	0.000	124.000
51	1.000	51.000	13.000	44.000	0.000	0.000	128.000
52	1.000	52.000	13.000	44.000	0.000	0.000	119.000
53	1.000	53.000	13.000	44.000	0.000	0.000	121.000
54	1.000	54.000	13.000	44.000	0.000	0.000	124.000
55	1.000	55.000	13.000	44.000	0.000	0.000	121.000
56	1.000	56.000	13.000	44.000	0.000	0.000	121.000
57	1.000	57.000	14.000	43.000	0.182	0.091	148.000
58	1.000	58.000	13.000	43.000	0.129	0.064	116.000
59	1.000	59.000	13.000	43.000	0.000	0.000	119.000
60	1.000	60.000	13.000	43.000	0.000	0.000	116.000
61	1.000	61.000	13.000	43.000	0.000	0.000	116.000
62	1.000	62.000	13.000	43.000	0.000	0.000	114.000
