 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	13.000	63.000	-1.000	-1.000	97.000
2	1.000	2.000	13.000	63.000	0.000	0.000	101.000
3	1.000	3.000	13.000	63.000	0.000	0.000	93.000
4	1.000	4.000	13.000	63.000	0.000	0.000	99.000
5	1.000	5.000	13.000	63.000	0.000	0.000	105.000
6	1.000	6.000	13.000	63.000	0.000	0.000	97.000
7	1.000	7.000	13.000	64.000	0.129	0.064	105.000
8	1.000	8.000	13.000	64.000	0.000	0.000	105.000
9	1.000	9.000	13.000	64.000	0.000	0.000	103.000
10	1.000	10.000	13.000	64.000	0.000	0.000	108.000
11	1.000	11.000	13.000	64.000	0.000	0.000	110.000
12	1.000	12.000	13.000	64.000	0.000	0.000	101.000
13	1.000	13.000	13.000	64.000	0.000	0.000	101.000
14	1.000	14.000	13.000	64.000	0.000	0.000	99.000
15	1.000	15.000	13.000	64.000	0.000	0.000	105.000
16	1.000	16.000	13.000	64.000	0.000	0.000	108.000
17	1.000	17.000	13.000	64.000	0.000	0.000	105.000
18	1.000	18.000	13.000	64.000	0.000	0.000	103.000
19	1.000	19.000	13.000	64.000	0.000	0.000	105.000
20	1.000	20.000	13.000	64.000	0.000	0.000	101.000
21	1.000	21.000	13.000	64.000	0.000	0.000	110.000
22	1.000	22.000	13.000	64.000	0.000	0.000	105.000
23	1.000	23.000	13.000	64.000	0.000	0.000	97.000
24	1.000	24.000	13.000	64.000	0.000	0.000	99.000
25	1.000	25.000	13.000	64.000	0.000	0.000	101.000
26	1.000	26.000	13.000	64.000	0.000	0.000	101.000
27	1.000	27.000	13.000	64.000	0.000	0.000	97.000
28	1.000	28.000	13.000	64.000	0.000	0.000	108.000
29	1.000	29.000	13.000	64.000	0.000	0.000	105.000
30	1.000	30.000	13.000	64.000	0.000	0.000	101.000
31	1.000	31.000	13.000	64.000	0.000	0.000	97.000
32	1.000	32.000	19.000	67.000	0.865	0.433	130.000
33	1.000	33.000	19.000	67.000	0.000	0.000	112.000
34	1.000	34.000	19.000	67.000	0.000	0.000	119.000
35	1.000	35.000	19.000	67.000	0.000	0.000	130.000
36	1.000	36.000	19.000	67.000	0.000	0.000	128.000
37	1.000	37.000	19.000	67.000	0.000	0.000	122.000
38	1.000	38.000	19.000	67.000	0.000	0.000	125.000
39	1.000	39.000	19.000	67.000	0.000	0.000	130.000
40	1.000	40.000	19.000	67.000	0.000	0.000	122.000
41	1.000	41.000	19.000	67.000	0.000	0.000	119.000
42	1.000	42.000	19.000	67.000	0.000	0.000	134.000
43	1.000	43.000	19.000	67.000	0.000	0.000	125.000
44	1.000	44.000	19.000	67.000	0.000	0.000	134.000
45	1.000	45.000	19.000	67.000	0.000	0.000	125.000
46	1.000	46.000	19.000	67.000	0.000	0.000	143.000
47	1.000	47.000	19.000	67.000	0.000	0.000	125.000
48	1.000	48.000	19.000	67.000	0.000	0.000	125.000
49	1.000	49.000	19.000	67.000	0.000	0.000	128.000
50	1.000	50.000	19.000	67.000	0.000	0.000	119.000
51	1.000	51.000	19.000	67.000	0.000	0.000	122.000
52	1.000	52.000	19.000	67.000	0.000	0.000	119.000
53	1.000	53.000	19.000	67.000	0.000	0.000	122.000
54	1.000	54.000	19.000	67.000	0.000	0.000	125.000
55	1.000	55.000	19.000	67.000	0.000	0.000	128.000
56	1.000	56.000	19.000	67.000	0.000	0.000	122.000
57	1.000	57.000	19.000	67.000	0.000	0.000	122.000
58	1.000	58.000	19.000	67.000	0.000	0.000	125.000
59	1.000	59.000	19.000	67.000	0.000	0.000	138.000
60	1.000	60.000	19.000	67.000	0.000	0.000	125.000
61	1.000	61.000	19.000	67.000	0.000	0.000	125.000
62	1.000	62.000	19.000	67.000	0.000	0.000	122.000
